####################
Type: org.eclipse.emf.ecore.EClass
Counter: 7
####################
 
 > Type: org.eclipse.emf.ecore.EClass  > Name: Swap  > Differences: 44  > Submatches: 22 
 > Type: org.eclipse.emf.ecore.EClass  > Name: SwapLeg  > Differences: 2  > Submatches: 1 
 > Type: org.eclipse.emf.ecore.EClass  > Name: SimpleTask  > Differences: 170  > Submatches: 85 
 > Type: org.eclipse.emf.ecore.EClass  > Name: CompoundTask  > Differences: 170  > Submatches: 85 
 > Type: org.eclipse.emf.ecore.EClass  > Name: SwappingProcess  > Differences: 294  > Submatches: 147 
 > Type: org.eclipse.emf.ecore.EClass  > Name: NormalAccount  > Differences: 8  > Submatches: 4 
 > Type: org.eclipse.emf.ecore.EClass  > Name: ContractEthereumAccount  > Differences: 12  > Submatches: 6 
####################
Type: org.eclipse.emf.ecore.EReference
Counter: 504
####################
 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: hasLeg  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: sender  > Differences: 1  > Submatches: 0 
 > Type: org.eclipse.emf.ecore.EReference  > Name: referenceTo  > Differences: 1  > Submatches: 0 
